QC_ID|ASSAY_CODE|QC_LOT|QC_LEVEL|EXPECTED_VALUE|OBSERVED_VALUE|RUN_DT|INSTRUMENT_ID|QC_STATUS
QC000040|SER011|LOT119|L1|0.25|0.25|21/08/2023 07:00:00|INS05|PASS
QC000041|SER011|LOT128|L2|3.50|3.39|16/03/2022 06:00:00|INS04|PASS
QC000042|LOC900|LOT129|L2|3.50|3.56|19/04/2021 07:00:00|INS04|PASS
QC000043|LOC900|LOT118|L1|0.25|0.22|20/03/2020 06:00:00|INS03|PASS
QC000044|SER012|LOT104|L2|3.50|3.75|25/03/2021 06:00:00|INS01|PASS
QC000045|SER012|LOT125|L2|3.50|3.67|18/06/2022 09:00:00|INS03|PASS
QC000046|SER013|LOT123|L2|3.50|3.43|06/01/2024 08:00:00|INS03|PASS
QC000047|SER012|LOT106|L2|3.50|3.53|20/06/2023 09:00:00|INS02|PASS
QC000048|SER014|LOT120|L1|0.25|0.28|19/04/2020 09:00:00|INS05|PASS
QC000049|SER012|LOT113|L2|3.50|3.20|30/09/2021 07:00:00|INS02|PASS
QC000050|SER012|LOT140|L2|3.50|3.18|05/05/2020 07:00:00|INS02|PASS
QC000051|SER013|LOT114|L1|0.25|0.26|18/11/2023 09:00:00|INS04|PASS
QC000052|SER011|LOT102|L1|0.25|0.23|27/10/2022 08:00:00|INS06|PASS
QC000053|LOC900|LOT137|L2|3.50|3.90|03/02/2023 07:00:00|INS06|PASS
QC000054|SER012|LOT125|L2|3.50|3.09|13/04/2024 06:00:00|INS06|PASS
QC000055|SER010|LOT103|L2|3.50|3.14|21/11/2020 09:00:00|INS03|PASS
QC000056|SER012|LOT111|L2|3.50|3.83|27/03/2020 06:00:00|INS02|PASS
QC000057|SER010|LOT105|L2|3.50|3.29|18/03/2024 06:00:00|INS06|PASS
QC000058|SER012|LOT130|L2|3.50|3.49|13/02/2022 08:00:00|INS01|PASS
QC000059|SER013|LOT111|L1|0.25|0.26|07/05/2021 08:00:00|INS06|PASS
QC000060|SER014|LOT130|L1|0.25|0.24|12/05/2021 07:00:00|INS05|PASS
QC000061|SER013|LOT117|L2|3.50|3.80|23/12/2021 07:00:00|INS04|PASS
QC000062|SER012|LOT100|L2|3.50|3.53|27/02/2022 06:00:00|INS05|PASS
QC000063|SER014|LOT128|L1|0.25|0.22|10/10/2024 06:00:00|INS02|PASS
QC000064|LOC900|LOT110|L1|0.25|0.23|24/12/2023 06:00:00|INS05|PASS
QC000065|SER014|LOT112|L1|0.25|0.26|06/08/2022 08:00:00|INS05|PASS
QC000066|SER014|LOT126|L1|0.25|0.27|23/04/2022 09:00:00|INS02|PASS
QC000067|SER011|LOT120|L1|0.25|0.28|17/10/2023 06:00:00|INS01|PASS
QC000068|SER011|LOT127|L1|0.25|0.27|02/05/2024 09:00:00|INS03|PASS
QC000069|SER010|LOT122|L1|0.25|0.27|26/06/2021 09:00:00|INS06|PASS
QC000070|SER010|LOT108|L2|3.50|3.73|15/05/2023 09:00:00|INS05|PASS
QC000071|SER012|LOT113|L2|3.50|3.89|04/02/2022 08:00:00|INS01|PASS
QC000072|SER011|LOT103|L1|0.25|0.28|16/10/2021 07:00:00|INS03|PASS
QC000073|SER013|LOT133|L2|3.50|3.38|09/06/2024 07:00:00|INS03|PASS
QC000074|SER013|LOT120|L1|0.25|0.27|29/05/2020 08:00:00|INS01|PASS
QC000075|SER014|LOT122|L1|0.25|0.28|04/12/2020 08:00:00|INS05|PASS
QC000076|SER014|LOT103|L1|0.25|0.23|25/05/2022 09:00:00|INS06|PASS
QC000077|SER012|LOT136|L1|0.25|0.24|20/08/2022 07:00:00|INS05|PASS
QC000078|LOC900|LOT112|L2|3.50|3.14|17/03/2020 07:00:00|INS03|PASS
QC000079|SER013|LOT109|L2|3.50|3.79|18/01/2024 09:00:00|INS05|PASS
QC000080|SER011|LOT115|L2|3.50|3.50|15/07/2020 07:00:00|INS04|PASS
QC000081|SER013|LOT113|L2|3.50|3.38|19/03/2022 07:00:00|INS02|PASS
QC000082|SER014|LOT115|L2|3.50|3.11|18/07/2022 06:00:00|INS04|PASS
QC000083|SER010|LOT121|L2|3.50|3.89|05/12/2024 08:00:00|INS06|PASS
QC000084|SER013|LOT122|L1|0.25|0.27|06/01/2020 06:00:00|INS06|PASS
QC000085|SER011|LOT100|L2|3.50|3.41|23/05/2024 09:00:00|INS01|PASS
QC000086|SER011|LOT106|L2|3.50|3.13|20/06/2023 07:00:00|INS04|PASS
QC000087|LOC900|LOT128|L2|3.50|3.19|09/06/2024 07:00:00|INS06|PASS
QC000088|LOC900|LOT115|L2|3.50|3.47|24/03/2024 06:00:00|INS04|PASS
QC000089|SER010|LOT133|L2|3.50|3.14|01/09/2021 07:00:00|INS06|PASS
QC000090|SER013|LOT102|L1|0.25|0.27|13/01/2020 06:00:00|INS05|PASS
QC000091|SER011|LOT136|L1|0.25|0.23|10/05/2021 08:00:00|INS06|PASS
QC000092|SER011|LOT135|L1|0.25|0.24|11/05/2020 09:00:00|INS01|PASS
QC000093|SER013|LOT100|L2|3.50|3.39|12/01/2024 09:00:00|INS01|PASS
QC000094|LOC900|LOT112|L1|0.25|0.23|03/01/2023 08:00:00|INS04|PASS
QC000095|SER011|LOT118|L1|0.25|0.26|12/01/2024 07:00:00|INS01|PASS
QC000096|SER011|LOT131|L1|0.25|0.24|05/05/2020 09:00:00|INS04|PASS
QC000097|SER011|LOT121|L1|0.25|0.24|08/07/2020 06:00:00|INS06|PASS
QC000098|SER010|LOT131|L1|0.25|0.22|16/08/2021 06:00:00|INS05|PASS
QC000099|SER014|LOT103|L2|3.50|3.29|24/07/2020 08:00:00|INS01|PASS
QC000100|SER011|LOT103|L1|0.25|0.26|15/11/2023 09:00:00|INS02|PASS
QC000101|SER013|LOT120|L2|3.50|3.41|11/08/2022 08:00:00|INS02|PASS
QC000102|LOC900|LOT122|L2|3.50|3.33|28/09/2021 06:00:00|INS01|PASS
QC000103|SER011|LOT131|L1|0.25|0.26|02/02/2024 06:00:00|INS03|PASS
QC000104|LOC900|LOT100|L1|0.25|0.26|01/12/2022 06:00:00|INS04|PASS
QC000105|SER013|LOT104|L1|0.25|0.24|30/04/2021 09:00:00|INS06|PASS
QC000106|SER013|LOT124|L1|0.25|0.25|26/10/2021 09:00:00|INS06|PASS
QC000107|SER010|LOT129|L1|0.25|0.25|26/05/2020 09:00:00|INS06|PASS
QC000108|SER014|LOT108|L1|0.25|0.26|11/08/2024 07:00:00|INS06|PASS
QC000109|SER012|LOT101|L2|3.50|3.67|30/03/2021 09:00:00|INS05|PASS
QC000110|SER013|LOT112|L2|3.50|3.11|16/07/2024 09:00:00|INS06|PASS
QC000111|LOC900|LOT139|L1|0.25|0.23|17/08/2020 08:00:00|INS03|PASS
QC000112|LOC900|LOT127|L1|0.25|0.24|22/05/2022 07:00:00|INS01|PASS
QC000113|SER010|LOT105|L1|0.25|0.22|12/11/2022 09:00:00|INS04|PASS
QC000114|SER012|LOT104|L2|3.50|3.63|30/09/2021 06:00:00|INS06|PASS
QC000115|SER010|LOT120|L1|0.25|0.25|14/03/2022 07:00:00|INS01|PASS
QC000116|SER012|LOT124|L2|3.50|3.23|16/01/2021 08:00:00|INS04|PASS
QC000117|LOC900|LOT118|L1|0.25|0.28|12/05/2021 07:00:00|INS02|PASS
QC000118|SER013|LOT100|L2|3.50|3.62|06/08/2024 08:00:00|INS02|PASS
QC000119|SER014|LOT100|L1|0.25|0.28|26/04/2020 07:00:00|INS04|PASS
QC000120|LOC900|LOT124|L1|0.25|0.28|29/05/2020 07:00:00|INS03|PASS
QC000121|SER014|LOT102|L1|0.25|0.25|03/02/2024 09:00:00|INS01|PASS
QC000122|SER011|LOT135|L2|3.50|3.27|29/05/2021 08:00:00|INS03|PASS
QC000123|SER010|LOT114|L2|3.50|3.35|23/10/2020 06:00:00|INS01|PASS
QC000124|LOC900|LOT135|L2|3.50|3.60|21/05/2024 06:00:00|INS04|PASS
QC000125|SER011|LOT117|L2|3.50|3.61|02/01/2024 06:00:00|INS01|PASS
QC000126|SER012|LOT100|L1|0.25|0.25|25/09/2021 08:00:00|INS05|PASS
QC000127|SER011|LOT136|L1|0.25|0.23|23/04/2020 08:00:00|INS06|PASS
QC000128|LOC900|LOT114|L1|0.25|0.28|03/01/2023 07:00:00|INS03|PASS
QC000129|LOC900|LOT135|L2|3.50|3.43|27/07/2020 06:00:00|INS02|PASS
QC000130|SER014|LOT119|L2|3.50|3.18|09/07/2024 09:00:00|INS06|PASS
QC000131|LOC900|LOT100|L2|3.50|3.66|20/10/2023 07:00:00|INS02|PASS
QC000132|SER013|LOT137|L2|3.50|3.30|21/02/2022 07:00:00|INS02|PASS
QC000133|SER014|LOT120|L2|3.50|3.44|12/02/2022 07:00:00|INS05|PASS
QC000134|SER012|LOT117|L2|3.50|3.67|22/06/2020 07:00:00|INS05|PASS
QC000135|LOC900|LOT125|L1|0.25|0.26|20/11/2024 08:00:00|INS01|PASS
QC000136|SER013|LOT104|L2|3.50|3.89|03/05/2023 06:00:00|INS06|PASS
QC000137|SER011|LOT118|L1|0.25|0.22|28/03/2022 06:00:00|INS05|PASS
QC000138|SER011|LOT138|L1|0.25|0.23|20/08/2023 08:00:00|INS02|PASS
QC000139|SER011|LOT139|L2|3.50|3.20|21/04/2020 07:00:00|INS02|PASS
QC000140|SER010|LOT117|L1|0.25|0.27|02/04/2023 09:00:00|INS01|PASS
QC000141|SER012|LOT111|L2|3.50|3.38|20/10/2023 09:00:00|INS06|PASS
QC000142|SER011|LOT106|L1|0.25|0.22|30/12/2024 07:00:00|INS01|PASS
QC000143|SER013|LOT109|L2|3.50|3.74|20/05/2020 06:00:00|INS01|PASS
QC000144|SER011|LOT133|L1|0.25|0.24|18/10/2023 09:00:00|INS01|PASS
QC000145|LOC900|LOT134|L2|3.50|3.84|30/04/2023 09:00:00|INS04|PASS
QC000146|SER011|LOT108|L2|3.50|3.79|13/05/2020 06:00:00|INS02|PASS
QC000147|LOC900|LOT133|L1|0.25|0.24|07/09/2024 07:00:00|INS04|PASS
QC000148|LOC900|LOT134|L1|0.25|0.27|31/01/2023 08:00:00|INS02|PASS
QC000149|SER014|LOT121|L1|0.25|0.25|04/03/2023 07:00:00|INS01|PASS
QC000150|SER012|LOT103|L1|0.25|0.23|28/01/2023 09:00:00|INS01|PASS
QC000151|SER014|LOT104|L2|3.50|3.87|30/05/2023 09:00:00|INS02|PASS
QC000152|SER010|LOT137|L2|3.50|3.36|31/03/2022 07:00:00|INS01|PASS
QC000153|SER010|LOT137|L1|0.25|0.27|28/06/2024 08:00:00|INS06|PASS
QC000154|SER014|LOT108|L1|0.25|0.27|28/11/2022 06:00:00|INS05|PASS
QC000155|SER012|LOT130|L2|3.50|3.84|11/09/2023 07:00:00|INS04|PASS
QC000156|SER010|LOT105|L2|3.50|3.89|06/10/2024 08:00:00|INS02|PASS
QC000157|SER014|LOT129|L2|3.50|3.83|03/09/2024 06:00:00|INS04|PASS
QC000158|SER012|LOT137|L1|0.25|0.22|26/06/2020 09:00:00|INS02|PASS
QC000159|SER011|LOT100|L2|3.50|3.84|29/01/2021 06:00:00|INS04|PASS
QC000160|SER013|LOT108|L1|0.25|0.26|16/07/2024 06:00:00|INS06|PASS
QC000161|SER014|LOT119|L1|0.25|0.25|05/05/2024 09:00:00|INS02|PASS
QC000162|SER011|LOT121|L2|3.50|3.09|18/12/2024 09:00:00|INS03|PASS
QC000163|SER010|LOT120|L1|0.25|0.23|20/12/2022 08:00:00|INS04|PASS
QC000164|SER011|LOT106|L1|0.25|0.25|14/11/2024 07:00:00|INS02|PASS
QC000165|SER012|LOT125|L2|3.50|3.67|15/08/2024 07:00:00|INS02|PASS
QC000166|SER012|LOT109|L1|0.25|0.27|07/09/2021 07:00:00|INS01|PASS
QC000167|SER014|LOT119|L2|3.50|3.17|08/12/2022 06:00:00|INS03|PASS
QC000168|SER012|LOT128|L2|3.50|3.65|05/05/2021 06:00:00|INS01|PASS
QC000169|SER012|LOT112|L1|0.25|0.23|04/12/2022 08:00:00|INS03|PASS
QC000170|SER010|LOT138|L1|0.25|0.23|20/11/2024 07:00:00|INS03|PASS
QC000171|SER011|LOT101|L2|3.50|3.40|11/05/2021 07:00:00|INS04|PASS
QC000172|SER013|LOT123|L1|0.25|0.26|31/10/2020 09:00:00|INS06|PASS
QC000173|SER010|LOT116|L2|3.50|3.83|11/04/2024 06:00:00|INS04|PASS
QC000174|SER010|LOT109|L1|0.25|0.23|29/07/2020 08:00:00|INS04|PASS
QC000175|SER012|LOT139|L2|3.50|3.16|26/09/2024 07:00:00|INS04|PASS
QC000176|SER014|LOT106|L1|0.25|0.24|02/03/2024 06:00:00|INS06|PASS
QC000177|LOC900|LOT104|L2|3.50|3.41|05/12/2022 08:00:00|INS03|PASS
QC000178|SER010|LOT106|L1|0.25|0.26|30/08/2022 08:00:00|INS04|PASS
QC000179|LOC900|LOT110|L1|0.25|0.26|13/02/2021 06:00:00|INS01|PASS
QC000180|LOC900|LOT130|L2|3.50|3.77|10/09/2021 06:00:00|INS02|PASS
QC000181|LOC900|LOT140|L1|0.25|0.23|09/08/2024 09:00:00|INS04|PASS
QC000182|SER012|LOT108|L2|3.50|3.84|10/04/2020 08:00:00|INS01|PASS
QC000183|LOC900|LOT116|L2|3.50|3.33|07/01/2024 06:00:00|INS04|PASS
QC000184|SER012|LOT104|L2|3.50|3.37|09/06/2024 08:00:00|INS04|PASS
QC000185|SER011|LOT129|L2|3.50|3.92|07/10/2021 06:00:00|INS03|PASS
QC000186|SER012|LOT132|L2|3.50|3.39|05/10/2023 07:00:00|INS01|PASS
QC000187|LOC900|LOT132|L2|3.50|3.85|17/11/2020 07:00:00|INS04|PASS
QC000188|SER013|LOT111|L2|3.50|3.65|31/10/2024 08:00:00|INS01|PASS
QC000189|SER012|LOT118|L1|0.25|0.24|17/11/2024 07:00:00|INS06|PASS
QC000190|SER014|LOT132|L1|0.25|0.24|02/03/2023 08:00:00|INS02|PASS
QC000191|SER010|LOT115|L1|0.25|0.24|03/06/2024 08:00:00|INS02|PASS
QC000192|LOC900|LOT134|L2|3.50|3.23|12/02/2024 06:00:00|INS06|PASS
QC000193|SER012|LOT138|L1|0.25|0.24|16/12/2021 08:00:00|INS02|PASS
QC000194|SER010|LOT116|L1|0.25|0.23|16/06/2022 08:00:00|INS01|PASS
QC000195|SER014|LOT117|L2|3.50|3.10|25/08/2023 09:00:00|INS06|PASS
QC000196|SER010|LOT102|L2|3.50|3.56|21/02/2020 09:00:00|INS04|PASS
QC000197|SER012|LOT114|L1|0.25|0.26|24/11/2023 09:00:00|INS04|PASS
QC000198|SER011|LOT132|L1|0.25|0.25|06/06/2024 09:00:00|INS04|PASS
QC000199|LOC900|LOT130|L2|3.50|3.57|05/03/2020 07:00:00|INS06|PASS
QC000200|SER011|LOT139|L1|0.25|0.23|29/01/2021 09:00:00|INS02|PASS
QC000201|SER011|LOT118|L2|3.50|3.62|29/06/2022 06:00:00|INS06|PASS
QC000202|LOC900|LOT140|L2|3.50|3.76|11/03/2021 07:00:00|INS04|PASS
QC000203|LOC900|LOT114|L1|0.25|0.25|03/04/2021 08:00:00|INS04|PASS
QC000204|LOC900|LOT115|L1|0.25|0.28|12/11/2023 09:00:00|INS05|PASS
QC000205|SER010|LOT120|L1|0.25|0.27|26/06/2021 09:00:00|INS05|PASS
QC000206|SER013|LOT135|L2|3.50|3.37|08/12/2021 06:00:00|INS02|PASS
QC000207|LOC900|LOT135|L2|3.50|3.92|14/09/2020 08:00:00|INS01|PASS
QC000208|SER011|LOT105|L1|0.25|0.23|15/04/2022 09:00:00|INS02|PASS
QC000209|SER014|LOT126|L1|0.25|0.23|05/06/2020 08:00:00|INS05|PASS
QC000210|SER012|LOT113|L2|3.50|3.30|25/09/2021 08:00:00|INS06|PASS
QC000211|SER010|LOT127|L1|0.25|0.26|18/04/2022 09:00:00|INS01|PASS
QC000212|SER012|LOT136|L1|0.25|0.24|29/10/2022 08:00:00|INS05|PASS
QC000213|LOC900|LOT109|L2|3.50|3.22|28/03/2024 09:00:00|INS05|PASS
QC000214|SER013|LOT137|L1|0.25|0.25|29/08/2024 07:00:00|INS03|PASS
QC000215|SER013|LOT105|L1|0.25|0.23|05/03/2022 08:00:00|INS04|PASS
QC000216|SER011|LOT110|L1|0.25|0.25|18/11/2020 09:00:00|INS05|PASS
QC000217|SER011|LOT109|L1|0.25|0.23|18/08/2020 07:00:00|INS02|PASS
QC000218|SER011|LOT138|L2|3.50|3.90|18/08/2023 09:00:00|INS04|PASS
QC000219|LOC900|LOT129|L2|3.50|3.25|03/01/2024 07:00:00|INS05|PASS
QC000220|SER010|LOT109|L1|0.25|0.27|28/01/2024 07:00:00|INS03|PASS
QC000221|SER011|LOT121|L2|3.50|3.59|10/01/2022 09:00:00|INS04|PASS
QC000222|SER010|LOT107|L1|0.25|0.27|02/11/2024 09:00:00|INS01|PASS
QC000223|SER013|LOT106|L1|0.25|0.24|16/02/2021 06:00:00|INS03|PASS
QC000224|SER012|LOT135|L2|3.50|3.30|24/09/2021 09:00:00|INS03|PASS
QC000225|SER010|LOT133|L1|0.25|0.26|02/09/2023 09:00:00|INS03|PASS
QC000226|SER014|LOT113|L2|3.50|3.56|06/03/2024 09:00:00|INS06|PASS
QC000227|SER011|LOT108|L1|0.25|0.23|03/07/2024 09:00:00|INS06|PASS
QC000228|SER014|LOT125|L2|3.50|3.41|07/11/2023 07:00:00|INS01|PASS
QC000229|SER010|LOT106|L2|3.50|3.67|26/04/2020 07:00:00|INS04|PASS
QC000230|SER013|LOT137|L1|0.25|0.23|20/03/2020 07:00:00|INS02|PASS
QC000231|SER014|LOT134|L2|3.50|3.12|07/04/2022 07:00:00|INS01|PASS
QC000232|SER011|LOT133|L2|3.50|3.36|05/06/2020 08:00:00|INS04|PASS
QC000233|LOC900|LOT128|L2|3.50|3.70|09/08/2020 09:00:00|INS03|PASS
QC000234|SER012|LOT137|L2|3.50|3.12|19/10/2021 06:00:00|INS02|PASS
QC000235|LOC900|LOT125|L1|0.25|0.27|26/08/2020 08:00:00|INS05|PASS
QC000236|SER011|LOT119|L2|3.50|3.54|20/05/2022 09:00:00|INS02|PASS
QC000237|SER010|LOT101|L2|3.50|3.33|05/07/2024 09:00:00|INS01|PASS
QC000238|SER011|LOT112|L1|0.25|0.27|02/02/2023 08:00:00|INS06|PASS
QC000239|SER010|LOT113|L2|3.50|3.22|15/11/2022 09:00:00|INS04|PASS
QC000240|SER011|LOT118|L1|0.25|0.25|27/12/2020 09:00:00|INS05|PASS
QC000241|SER010|LOT126|L2|3.50|3.55|05/04/2023 09:00:00|INS03|PASS
QC000242|LOC900|LOT127|L1|0.25|0.26|23/03/2021 08:00:00|INS01|PASS
QC000243|SER013|LOT104|L2|3.50|3.27|08/03/2022 06:00:00|INS06|PASS
QC000244|SER011|LOT128|L1|0.25|0.23|05/11/2020 09:00:00|INS06|PASS
QC000245|SER013|LOT137|L2|3.50|3.41|16/10/2024 06:00:00|INS04|PASS
QC000246|SER012|LOT106|L2|3.50|3.25|05/02/2023 06:00:00|INS05|PASS
QC000247|SER012|LOT110|L2|3.50|3.42|12/06/2020 08:00:00|INS06|PASS
QC000248|SER014|LOT115|L2|3.50|3.42|31/05/2024 08:00:00|INS06|PASS
QC000249|LOC900|LOT113|L2|3.50|3.39|13/06/2024 09:00:00|INS03|PASS
QC000250|SER013|LOT104|L1|0.25|0.23|19/04/2024 06:00:00|INS01|PASS
QC000251|SER011|LOT134|L2|3.50|3.23|29/10/2023 09:00:00|INS05|PASS
QC000252|SER012|LOT139|L1|0.25|0.22|10/08/2020 08:00:00|INS01|PASS
QC000253|SER014|LOT110|L2|3.50|3.26|30/09/2023 08:00:00|INS05|PASS
QC000254|SER014|LOT135|L2|3.50|3.86|28/04/2024 09:00:00|INS04|PASS
QC000255|SER011|LOT115|L1|0.25|0.25|07/09/2020 08:00:00|INS03|PASS
QC000256|SER011|LOT113|L1|0.25|0.24|19/12/2022 09:00:00|INS05|PASS
QC000257|SER012|LOT126|L2|3.50|3.70|15/03/2023 07:00:00|INS02|PASS
QC000258|SER011|LOT114|L1|0.25|0.26|06/08/2021 08:00:00|INS06|PASS
QC000259|SER014|LOT101|L1|0.25|0.23|19/10/2023 07:00:00|INS04|PASS
QC000260|SER014|LOT130|L2|3.50|3.66|12/09/2020 09:00:00|INS03|PASS
QC000261|SER010|LOT123|L2|3.50|3.44|17/08/2021 08:00:00|INS02|PASS
QC000262|SER011|LOT125|L2|3.50|3.87|27/05/2024 07:00:00|INS02|PASS
QC000263|SER011|LOT132|L1|0.25|0.28|01/01/2024 07:00:00|INS02|PASS
QC000264|SER012|LOT114|L2|3.50|3.21|02/06/2021 09:00:00|INS03|PASS
QC000265|SER012|LOT126|L1|0.25|0.27|10/01/2024 06:00:00|INS03|PASS
QC000266|SER014|LOT137|L1|0.25|0.28|10/11/2023 09:00:00|INS05|PASS
QC000267|LOC900|LOT108|L1|0.25|0.28|19/09/2020 06:00:00|INS04|PASS
QC000268|LOC900|LOT107|L2|3.50|3.23|13/05/2020 07:00:00|INS06|PASS
QC000269|SER013|LOT120|L1|0.25|0.24|15/06/2023 07:00:00|INS01|PASS
QC000270|SER013|LOT132|L1|0.25|0.24|06/09/2022 08:00:00|INS03|PASS
QC000271|SER011|LOT136|L2|3.50|3.59|02/03/2023 07:00:00|INS05|PASS
QC000272|SER011|LOT128|L1|0.25|0.28|11/10/2020 06:00:00|INS02|PASS
QC000273|LOC900|LOT120|L1|0.25|0.28|22/11/2022 07:00:00|INS03|PASS
QC000274|SER014|LOT113|L2|3.50|3.62|07/11/2022 09:00:00|INS01|PASS
QC000275|LOC900|LOT126|L1|0.25|0.24|10/02/2022 07:00:00|INS04|PASS
QC000276|SER014|LOT121|L2|3.50|3.59|26/07/2021 07:00:00|INS01|PASS
QC000277|SER011|LOT115|L2|3.50|3.89|23/08/2021 08:00:00|INS04|PASS
QC000278|SER013|LOT103|L2|3.50|3.88|27/08/2021 09:00:00|INS04|PASS
QC000279|SER013|LOT113|L1|0.25|0.25|21/12/2022 07:00:00|INS04|PASS
QC000280|SER010|LOT136|L1|0.25|0.22|29/03/2022 07:00:00|INS05|PASS
QC000281|LOC900|LOT139|L1|0.25|0.22|14/12/2021 09:00:00|INS05|PASS
QC000282|SER011|LOT104|L1|0.25|0.28|23/03/2023 07:00:00|INS02|PASS
QC000283|SER012|LOT101|L2|3.50|3.90|12/10/2021 08:00:00|INS02|PASS
QC000284|SER012|LOT117|L2|3.50|3.84|05/03/2022 08:00:00|INS01|PASS
QC000285|SER010|LOT114|L1|0.25|0.24|13/10/2022 07:00:00|INS01|PASS
QC000286|SER011|LOT118|L1|0.25|0.22|08/12/2022 08:00:00|INS03|PASS
QC000287|SER011|LOT114|L1|0.25|0.23|14/10/2021 09:00:00|INS06|PASS
QC000288|SER011|LOT118|L2|3.50|3.37|15/03/2023 09:00:00|INS03|PASS
QC000289|SER010|LOT127|L2|3.50|3.76|24/06/2021 09:00:00|INS05|PASS
QC000290|SER011|LOT114|L1|0.25|0.23|09/06/2024 06:00:00|INS01|PASS
QC000291|SER014|LOT130|L1|0.25|0.27|08/07/2024 07:00:00|INS06|PASS
QC000292|SER010|LOT101|L1|0.25|0.23|16/12/2022 08:00:00|INS05|PASS
QC000293|SER011|LOT117|L2|3.50|3.23|29/03/2024 06:00:00|INS05|PASS
QC000294|SER012|LOT105|L2|3.50|3.88|29/01/2021 06:00:00|INS04|PASS
QC000295|SER013|LOT105|L2|3.50|3.44|21/02/2020 08:00:00|INS04|PASS
QC000296|SER010|LOT104|L1|0.25|0.27|18/07/2021 07:00:00|INS03|PASS
QC000297|SER013|LOT101|L2|3.50|3.27|20/05/2023 06:00:00|INS02|PASS
QC000298|SER014|LOT102|L2|3.50|3.53|31/10/2020 09:00:00|INS02|PASS
QC000299|SER012|LOT128|L2|3.50|3.82|06/02/2020 09:00:00|INS03|PASS
